@relation BOOKKEEPER_trainingSet6-weka.filters.unsupervised.attribute.Remove-R1-2

@attribute LOC numeric
@attribute LOC_touched numeric
@attribute Age numeric
@attribute 'Revision number' numeric
@attribute 'Fix number' numeric
@attribute 'Author Number' numeric
@attribute LOC_added numeric
@attribute MAX_LOC_added numeric
@attribute AVG_LOC_added numeric
@attribute churn numeric
@attribute MAX_churn numeric
@attribute Buggyness {no,yes}

@data
92,0,11,0,0,0,0,0,0,0,0,yes
101,0,11,0,0,0,0,0,0,0,0,no
45,0,11,0,0,0,0,0,0,0,0,yes
299,14,11,2,0,1,12,8,6,10,8,yes
32,2,11,1,0,1,1,1,1,0,0,no
111,0,11,0,0,0,0,0,0,0,0,no
35,0,11,0,0,0,0,0,0,0,0,no
85,4,11,1,0,1,4,4,4,4,4,yes
27,0,11,0,0,0,0,0,0,0,0,no
28,0,11,0,0,0,0,0,0,0,0,no
36,7,11,2,0,1,7,5,3.5,7,5,yes
574,14,11,2,0,1,11,3,5.5,8,5,yes
67,3,11,1,0,1,3,3,3,3,3,no
29,0,11,0,0,0,0,0,0,0,0,no
72,8,11,1,0,1,8,8,8,8,8,no
37,0,11,0,0,0,0,0,0,0,0,no
51,53,11,2,0,1,52,51,26,51,51,no
31,31,11,1,0,1,31,31,31,31,31,no
77,9,11,1,0,1,9,9,9,9,9,yes
168,14,11,1,0,1,14,14,14,14,14,yes
81,11,11,1,0,1,10,10,10,9,9,yes
37,37,11,1,0,1,37,37,37,37,37,no
27,27,11,1,0,1,27,27,27,27,27,no
48,48,11,1,0,1,48,48,48,48,48,no
436,107,11,3,0,1,79,16,26.333333,67,53,yes
77,77,11,1,0,1,77,77,77,77,77,yes
63,63,11,1,0,1,63,63,63,63,63,no
76,0,11,0,0,0,0,0,0,0,0,no
191,195,11,2,0,1,193,190,96.5,191,190,yes
160,1,11,1,0,1,1,1,1,1,1,no
906,245,11,3,0,1,207,27,69,169,131,yes
74,0,11,0,0,0,0,0,0,0,0,no
94,0,11,0,0,0,0,0,0,0,0,no
22,0,11,0,0,0,0,0,0,0,0,no
481,70,11,2,0,1,62,12,31,54,42,no
62,0,11,0,0,0,0,0,0,0,0,no
58,0,11,0,0,0,0,0,0,0,0,no
94,3,11,1,0,1,3,3,3,3,3,no
27,0,11,0,0,0,0,0,0,0,0,no
77,0,11,0,0,0,0,0,0,0,0,no
744,46,11,3,0,1,43,12,14.333333,40,28,yes
64,64,11,1,0,1,64,64,64,64,64,yes
45,45,11,1,0,1,45,45,45,45,45,no
63,0,11,0,0,0,0,0,0,0,0,no
37,0,11,0,0,0,0,0,0,0,0,no
64,0,11,0,0,0,0,0,0,0,0,no
124,0,11,0,0,0,0,0,0,0,0,no
172,30,11,2,0,1,21,11,10.5,12,10,no
36,4,11,1,0,1,2,2,2,0,0,no
58,0,11,0,0,0,0,0,0,0,0,no
62,0,11,0,0,0,0,0,0,0,0,no
132,6,11,1,0,1,4,4,4,2,2,no
74,2,11,1,0,1,1,1,1,0,0,no
83,0,11,0,0,0,0,0,0,0,0,no
74,0,11,0,0,0,0,0,0,0,0,no
48,0,11,0,0,0,0,0,0,0,0,no
60,0,11,0,0,0,0,0,0,0,0,no
86,20,11,1,0,1,18,18,18,16,16,no
355,334,11,3,0,1,253,241,84.333333,186,174,no
53,0,11,0,0,0,0,0,0,0,0,no
612,210,11,4,0,1,185,32,46.25,160,92,yes
39,0,11,0,0,0,0,0,0,0,0,no
78,0,11,0,0,0,0,0,0,0,0,yes
85,27,11,1,0,1,24,24,24,21,21,yes
31,0,11,0,0,0,0,0,0,0,0,no
57,0,11,0,0,0,0,0,0,0,0,no
108,4,11,1,0,1,4,4,4,4,4,no
32,2,11,1,0,1,1,1,1,0,0,no
227,0,11,0,0,0,0,0,0,0,0,no
201,4,11,1,0,1,4,4,4,4,4,no
80,5,11,1,0,1,5,5,5,5,5,no
28,0,11,0,0,0,0,0,0,0,0,no
57,5,11,1,0,1,5,5,5,5,5,no
446,19,11,2,0,1,18,17,9,17,17,no
103,0,11,0,0,0,0,0,0,0,0,no
35,2,11,1,0,1,1,1,1,0,0,no
98,0,11,0,0,0,0,0,0,0,0,no
79,0,11,0,0,0,0,0,0,0,0,no
215,0,11,0,0,0,0,0,0,0,0,no
271,0,11,0,0,0,0,0,0,0,0,yes
458,21,11,1,0,1,14,14,14,7,7,yes
137,0,11,0,0,0,0,0,0,0,0,yes
357,41,11,1,1,1,15,15,15,11,11,yes
1242,792,11,17,8,3,635,13,37.352941,510,153,yes
51,0,11,0,0,0,0,0,0,0,0,no
154,6,11,1,0,1,5,5,5,4,4,yes
31,0,11,0,0,0,0,0,0,0,0,no
928,962,11,5,1,3,945,684,189,938,684,no
180,0,11,0,0,0,0,0,0,0,0,no
260,138,11,3,1,2,101,88,33.666667,64,61,yes
551,168,11,6,1,3,123,13,20.5,78,43,yes
40,0,11,0,0,0,0,0,0,0,0,no
361,112,11,3,1,1,109,6,36.333333,106,62,yes
388,27,11,2,1,2,18,7,9,9,6,yes
51,51,11,1,0,1,51,51,51,51,51,no
577,176,11,7,3,3,122,4,17.428571,76,59,no
32,0,11,0,0,0,0,0,0,0,0,no
66,0,11,0,0,0,0,0,0,0,0,no
188,81,11,8,2,2,41,2,5.125,37,18,yes
582,54,11,6,4,3,30,3,5,18,7,no
158,4,11,1,1,1,2,2,2,0,0,yes
50,4,11,1,1,1,4,4,4,4,4,no
27,0,11,0,0,0,0,0,0,0,0,no
928,274,11,9,3,2,207,3,23,150,72,yes
60,0,11,0,0,0,0,0,0,0,0,no
62,4,11,1,1,1,2,2,2,0,0,no
87,9,11,1,1,1,4,4,4,1,1,no
52,2,11,1,1,1,1,1,1,0,0,no
268,272,11,3,2,2,270,240,90,268,240,no
163,0,11,0,0,0,0,0,0,0,0,no
109,20,11,1,1,1,19,19,19,18,18,no
147,0,11,0,0,0,0,0,0,0,0,no
58,60,11,2,0,1,59,58,29.5,58,58,no
44,44,11,1,0,1,44,44,44,44,44,no
106,108,11,1,0,1,108,108,108,108,108,no
139,0,11,0,0,0,0,0,0,0,0,no
326,44,11,4,0,1,44,11,11,44,11,no
648,176,11,10,5,3,121,13,12.1,104,66,no
778,660,11,13,2,3,319,8,24.538462,330,145,yes
314,146,11,3,1,2,122,111,40.666667,102,99,yes
55,0,11,0,0,0,0,0,0,0,0,no
191,7,11,1,0,1,7,7,7,7,7,no
90,51,11,2,0,1,38,13,19,25,14,no
273,297,11,4,0,1,285,274,71.25,281,274,no
137,45,11,4,1,2,16,9,4,19,15,no
79,28,11,3,0,2,13,6,4.333333,6,4,no
82,2,11,1,0,1,0,0,0,2,2,no
147,189,11,5,1,2,168,112,33.6,147,112,no
422,612,11,4,0,1,517,298,129.25,422,298,no
978,603,11,12,6,3,338,43,28.166667,185,91,yes
